FECHA ;BANCO;MONTO TOTAL;TOTAL OPERACIONES
2018Q01;ATLANTIDA;5312.191008;4016112.333
2018Q01;OCCIDENTE;2010.514189;2263199
2018Q01;TRABAJADORES;315.4159436;453874
2018Q01;FICENSA;40.64198756;62638.66667
2018Q01;BANHCAFE;74.14216851;132770.6667
2018Q01;BANCO DEL PAIS;1177.863298;904945
2018Q01;FICOHSA;4480.926028;4871469.333
2018Q01;LAFISE;159.1613954;274038
2018Q01;DAVIVIENDA;288.8894873;203018.3333
2018Q01;PROMERICA;1582.950281;1363348.333
2018Q01;AZTECA;85.54829264;165712
2018Q01;POPULAR;0;0
2018Q01;BAC CREDOMATIC;22287.87649;20377449
2018Q01;BANRURAL;341.1815153;392490
2018Q02;ATLANTIDA;14966.413;11250533.67
2018Q02;OCCIDENTE;5718.658225;6476467.333
2018Q02;TRABAJADORES;802.3096467;1194861.333
2018Q02;FICENSA;111.3127289;171912.6667
2018Q02;BANHCAFE;194.7051296;351311.6667
2018Q02;BANCO DEL PAIS;3380.449147;2634141.667
2018Q02;FICOHSA;13289.05109;13880872.67
2018Q02;LAFISE;427.3011237;751337.6667
2018Q02;DAVIVIENDA;848.3323564;617572
2018Q02;PROMERICA;4242.097994;3707106.667
2018Q02;AZTECA;247.3170312;485323.6667
2018Q02;POPULAR;0;0
2018Q02;BAC CREDOMATIC;63223.51652;58017970.33
2018Q02;BANRURAL;1055.102145;1238073.667
2018Q03;ATLANTIDA;22525.29368;17432689.67
2018Q03;OCCIDENTE;7848.347467;8823845.667
2018Q03;TRABAJADORES;1349.50399;2026584.667
2018Q03;FICENSA;198.6596578;309701.6667
2018Q03;BANHCAFE;322.9925462;585199.3333
2018Q03;BANCO DEL PAIS;5947.486686;4590661.333
2018Q03;FICOHSA;23063.23234;23422945.33
2018Q03;LAFISE;706.4043354;1245498.667
2018Q03;DAVIVIENDA;1449.923698;1028083.333
2018Q03;PROMERICA;7550.921432;6282995.667
2018Q03;AZTECA;428.7299706;834571
2018Q03;POPULAR;0;0
2018Q03;BAC CREDOMATIC;106143.4216;97779237.67
