X;Y;W;Z
-1.462527264;-1.22578638;-0.962527264;2.665772201
-1.715753773;-0.455767191;-0.715753773;1.70171337
-0.0200109;-0.530511112;1.4799891;2.035291455
0.428117751;-1.681765945;2.428117751;3.975062853
0.460958225;-1.233346387;2.960958225;2.248815746
0.319878861;-1.310579973;3.319878861;4.073179457
0.642914688;-0.08510338;4.142914688;4.768835883
1.087318942;0.270456156;5.087318942;5.919772298
0.056014505;0.558587081;4.556014505;4.97401229
-1.026438374;1.712180852;3.973561626;5.73468766
-1.76503745;1.879708792;3.73496255;7.437067791
-0.67060199;1.988194331;5.32939801;5.006386065
0.232183275;0.289088948;6.732183275;5.503910281
-0.017519006;-0.375485786;6.982480994;10.94560386
2.007408374;-0.255966623;9.507408374;9.19627757
2.941497882;0.524816157;10.94149788;8.731818652
2.954169085;0.771897007;11.45416908;5.894768074
2.89987764;-0.7958076;11.89987764;11.21368488
3.390894945;0.44481226;12.89089495;10.51496169
3.218436622;1.762006054;13.21843662;8.990862855
2.739573996;0.663348359;13.239574;10.77531964
3.029096202;-0.784877701;14.0290962;11.91853039
3.164140747;-0.042939662;14.66414075;11.42153828
1.593910732;0.176832965;13.59391073;13.64475139
1.34139793;-0.0162827;13.84139793;12.72852608
0.157676674;-0.629710004;13.15767667;14.22666195
-0.173199745;-1.358295917;13.32680025;11.32593691
0.033663901;-2.570630889;14.0336639;14.57563107
1.116603202;-4.831706535;15.6166032;11.47476791
1.631638426;-2.605895097;16.63163843;12.75130237
-0.370350201;-1.312904062;15.1296498;13.75311249
1.992384161;-0.665925994;17.99238416;14.21771252
2.244503823;-0.88482845;18.74450382;17.28132181
3.028503642;-1.604140909;20.02850364;18.68392571
3.071680316;-0.709926559;20.57168032;17.37919824
3.364371065;-1.948886087;21.36437107;17.09349765
2.257560039;-1.26362889;20.75756004;12.42989275
2.606852917;-1.717677037;21.60685292;16.19344983
2.394662278;-2.269954898;21.89466228;16.10979151
2.773631367;-1.336874927;22.77363137;19.88668132
2.25590157;-2.138730828;22.75590157;18.96229091
2.097335855;-1.303309937;23.09733585;23.64760339
0.817734081;-0.601042922;22.31773408;22.59722629
-0.928407163;-1.429587602;21.07159284;20.05046254
-1.554693667;0.434031654;20.94530633;18.43522087
-2.587128912;0.281233653;20.41287109;19.50508273
-2.99821314;0.481731194;20.50178686;20.93360084
-3.743353459;1.134873449;20.25664654;24.14861883
-2.655218454;1.428478968;21.84478155;22.80997863
-3.256353226;2.866906098;21.74364677;25.87054325
-2.841960861;1.68226836;22.65803914;22.94320219
-2.724923589;0.873099173;23.27507641;28.51273626
-3.04032075;-0.514127093;23.45967925;29.62542605
-2.670503324;-1.029972055;24.32949668;26.68078007
-0.361615103;-0.772185979;27.1383849;27.51514036
-1.064269235;0.610404964;26.93573077;26.50834389
-1.484263714;1.200784117;27.01573629;27.67908097
-1.515498132;1.406476799;27.48450187;26.1368468
-0.648097966;0.892178755;28.85190203;27.63259546
-1.637660718;1.53563835;28.36233928;31.06322509
-3.209158787;0.569027523;27.29084121;30.29766764
-5.189364123;0.48903871;25.81063588;28.60686715
-5.158564169;0.459223936;26.34143583;29.98594628
-5.264766934;0.705023152;26.73523307;30.94449632
-5.788170252;1.932858223;26.71182975;30.07713272
-6.728932418;3.082557264;26.27106758;32.19396569
-6.984385663;1.788248389;26.51561434;34.68757834
-5.57880278;2.74129783;28.42119722;31.19278439
-6.59226211;3.27689265;27.90773789;36.02231433
-7.31374275;1.966577163;27.68625725;36.73274401
-6.893501804;1.816714917;28.6064982;38.22078869
-7.83322581;0.199146718;28.16677419;37.99220723
-7.535275353;-1.594101965;28.96472465;37.38420381
-7.891636343;-0.936098937;29.10836366;40.67311114
-7.615682368;-1.538774195;29.88431763;36.86688232
-7.059641205;-2.049786571;30.94035879;38.79146634
-6.734806182;-0.726293928;31.76519382;40.61236782
-4.739211372;0.115084782;34.26078863;40.26240773
-2.901928531;0.073825719;36.59807147;38.6271979
-4.067390289;0.716710609;35.93260971;39.50944615
-5.160046747;1.407255216;35.33995325;42.51265578
-6.09795826;-0.049654819;34.90204174;46.43617062
-4.837982222;-0.819815821;36.66201778;43.75619279
-3.761332034;-1.804754498;38.23866797;39.07165393
-3.478105817;-0.434021173;39.02189418;41.31121439
-3.879832151;-0.12152981;39.12016785;41.73461572
-4.289476768;1.328062737;39.21052323;42.75131598
-6.50470925;1.182985447;37.49529075;45.36295491
-6.519724896;0.370583681;37.9802751;43.74531243
-6.645673798;-0.280190465;38.3543262;47.77373712
-6.012701083;0.259039103;39.48729892;45.67098502
-6.568619009;-0.451228558;39.43138099;43.77932108
-7.104478753;-1.03624843;39.39552125;44.38242302
-5.918648095;-0.247447978;41.0813519;42.48115894
-8.538823551;0.138825443;38.96117645;45.62976705
-8.181296913;0.598726015;39.81870309;49.53891282
-7.78634013;-0.394280307;40.71365987;48.16183872
-6.881563251;0.53991393;42.11843675;50.36699065
-7.028361389;0.016760879;42.47163861;51.1105287
-6.493623712;-0.561924652;43.50637629;48.67076755
